src,timestamp,coordination.x,coordination.y
M_MOVE,1669607706.538,1469,1198
M_MOVE,1669607706.547,1478,1198
M_MOVE,1669607706.555,1497,1199
M_MOVE,1669607706.563,1530,1204
M_MOVE,1669607706.571,1572,1213
M_MOVE,1669607706.58,1623,1226
M_MOVE,1669607706.588,1667,1233
M_MOVE,1669607706.596,1727,1243
M_MOVE,1669607706.606,1842,1258
M_MOVE,1669607706.616,1897,1262
M_MOVE,1669607706.623,1940,1264
M_MOVE,1669607706.632,1983,1265
M_MOVE,1669607707.042,1985,1264
M_MOVE,1669607707.051,1986,1264
M_MOVE,1669607707.068,1989,1264
M_MOVE,1669607707.082,1993,1264
M_MOVE,1669607707.09,1995,1264
M_MOVE,1669607707.097,1998,1264
M_MOVE,1669607707.106,2002,1264
M_MOVE,1669607707.113,2009,1266
M_MOVE,1669607707.123,2019,1267
M_MOVE,1669607707.132,2032,1267
M_MOVE,1669607707.145,2063,1270
M_MOVE,1669607707.156,2092,1273
M_MOVE,1669607707.165,2123,1274
M_MOVE,1669607707.173,2154,1274
M_MOVE,1669607707.182,2203,1276
M_MOVE,1669607707.19,2231,1276
M_MOVE,1669607707.198,2270,1276
M_MOVE,1669607707.208,2304,1277
M_MOVE,1669607707.214,2341,1277
M_MOVE,1669607707.223,2365,1277
M_MOVE,1669607707.232,2395,1280
M_MOVE,1669607707.24,2412,1281
M_MOVE,1669607707.252,2434,1282
M_MOVE,1669607707.258,2454,1284
M_MOVE,1669607707.267,2463,1286
M_MOVE,1669607707.275,2481,1288
M_MOVE,1669607707.284,2488,1289
M_MOVE,1669607707.292,2496,1291
M_MOVE,1669607707.309,2509,1293
M_MOVE,1669607707.318,2515,1294
M_MOVE,1669607707.326,2521,1295
M_MOVE,1669607707.335,2528,1296
M_MOVE,1669607707.344,2536,1297
M_MOVE,1669607707.352,2541,1299
M_MOVE,1669607707.362,2549,1300
M_MOVE,1669607707.371,2558,1302
M_MOVE,1669607707.38,2567,1304
M_MOVE,1669607707.388,2582,1308
M_MOVE,1669607707.404,2591,1311
M_MOVE,1669607707.412,2610,1317
M_MOVE,1669607707.422,2618,1319
M_MOVE,1669607707.431,2624,1321
M_MOVE,1669607707.44,2627,1323
M_MOVE,1669607707.448,2633,1325
M_MOVE,1669607707.457,2638,1327
M_MOVE,1669607707.466,2641,1328
M_MOVE,1669607707.474,2645,1329
M_MOVE,1669607707.483,2647,1331
M_MOVE,1669607707.492,2651,1332
M_MOVE,1669607707.5,2653,1332
M_MOVE,1669607707.508,2654,1333
M_MOVE,1669607707.518,2655,1333
M_MOVE,1669607707.526,2656,1334
M_MOVE,1669607707.534,2657,1334
M_MOVE,1669607707.542,2658,1334
M_MOVE,1669607707.934,2657,1333
M_MOVE,1669607707.941,2656,1332
M_MOVE,1669607707.95,2655,1332
M_MOVE,1669607707.958,2653,1332
M_MOVE,1669607707.966,2649,1332
M_MOVE,1669607707.974,2647,1332
M_MOVE,1669607707.983,2643,1332
M_MOVE,1669607707.991,2639,1332
M_MOVE,1669607708.0,2637,1332
