src,timestamp,key,is_pressed
KBD,1669613055.37,U,True
KBD,1669613055.426,U,False
KBD,1669613055.437,S,True
KBD,1669613055.515,S,False
KBD,1669613055.666,TAB,True
KBD,1669613055.722,TAB,False
KBD,1669613056.479,-,True
KBD,1669613056.543,-,False
KBD,1669613056.728,TAB,True
KBD,1669613056.836,TAB,False
KBD,1669613057.448,ENTER,True
KBD,1669613057.531,ENTER,False
KBD,1669613061.41,ENTER,True
KBD,1669613061.519,ENTER,False
KBD,1669613063.686,CTRL,True
KBD,1669613063.873,A,True
KBD,1669613063.978,A,False
KBD,1669613064.144,C,True
KBD,1669613064.26,C,False
KBD,1669613064.321,CTRL,False
KBD,1669620553.344,S,True
KBD,1669620553.438,S,False
KBD,1669620553.598,C,True
KBD,1669620553.687,C,False
KBD,1669620553.767,A,True
KBD,1669620553.863,A,False
KBD,1669620553.999,D,True
KBD,1669620554.073,D,False
KBD,1669620554.101,A,True
KBD,1669620554.2,A,False
KBD,1669620555.518,ENTER,True
KBD,1669620555.595,ENTER,False
KBD,1669620568.888,1,True
KBD,1669620568.974,1,False
KBD,1669620568.999,9,True
KBD,1669620569.085,9,False
KBD,1669620569.103,2,True
KBD,1669620569.187,2,False
KBD,1669620570.694,S,True
KBD,1669620570.804,S,False
KBD,1669620570.933,C,True
KBD,1669620571.037,C,False
KBD,1669620571.086,A,True
KBD,1669620571.208,A,False
KBD,1669620571.244,D,True
KBD,1669620571.373,D,False
KBD,1669620571.374,A,True
KBD,1669620571.456,A,False
KBD,1669653603.594,S,True
KBD,1669653603.596,S,False
KBD,1669653603.684,C,True
KBD,1669653603.733,C,False
KBD,1669653603.807,A,True
KBD,1669653603.959,A,False
KBD,1669653604.208,D,True
KBD,1669653604.296,D,False
KBD,1669653604.335,A,True
KBD,1669653604.427,A,False
KBD,1669653605.152,ENTER,True
KBD,1669653605.232,ENTER,False
